point_id,direction,status,gcs_uri,latitude,longitude,street_bearing,heading,pano_id
0009,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0009_right_40.9707854_29.0655248_213.7.jpg,40.9707854,29.0655248,123.74,213.74,MjH2W65DO1spLJBXzixwBQ
0009,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0009_backward_40.9707854_29.0655248_303.7.jpg,40.9707854,29.0655248,123.74,303.74,MjH2W65DO1spLJBXzixwBQ
0009,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0009_left_40.9707854_29.0655248_33.7.jpg,40.9707854,29.0655248,123.74,33.74000000000001,MjH2W65DO1spLJBXzixwBQ
0010,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0010_forward_40.9706856_29.0657226_123.7.jpg,40.9706856,29.0657226,123.74,123.74,BBx4LEITGPqNNz_ldRHUpw
0010,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0010_right_40.9706856_29.0657226_213.7.jpg,40.9706856,29.0657226,123.74,213.74,BBx4LEITGPqNNz_ldRHUpw
0010,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0010_backward_40.9706856_29.0657226_303.7.jpg,40.9706856,29.0657226,123.74,303.74,BBx4LEITGPqNNz_ldRHUpw
0010,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0010_left_40.9706856_29.0657226_33.7.jpg,40.9706856,29.0657226,123.74,33.74000000000001,BBx4LEITGPqNNz_ldRHUpw
0011,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0011_forward_40.9705858_29.0659205_123.7.jpg,40.9705858,29.0659205,123.74,123.74,15awwithkPcPYH43huaswQ
0011,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0011_right_40.9705858_29.0659205_213.7.jpg,40.9705858,29.0659205,123.74,213.74,15awwithkPcPYH43huaswQ
0011,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0011_backward_40.9705858_29.0659205_303.7.jpg,40.9705858,29.0659205,123.74,303.74,15awwithkPcPYH43huaswQ
0011,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0011_left_40.9705858_29.0659205_33.7.jpg,40.9705858,29.0659205,123.74,33.74000000000001,15awwithkPcPYH43huaswQ
0012,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0012_forward_40.9704861_29.0661183_123.7.jpg,40.9704861,29.0661183,123.74,123.74,BEe4A_Vku6OmnCIy2SFftw
0012,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0012_right_40.9704861_29.0661183_213.7.jpg,40.9704861,29.0661183,123.74,213.74,BEe4A_Vku6OmnCIy2SFftw
0012,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0012_backward_40.9704861_29.0661183_303.7.jpg,40.9704861,29.0661183,123.74,303.74,BEe4A_Vku6OmnCIy2SFftw
0012,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0012_left_40.9704861_29.0661183_33.7.jpg,40.9704861,29.0661183,123.74,33.74000000000001,BEe4A_Vku6OmnCIy2SFftw
0013,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0013_forward_40.9703863_29.0663161_123.7.jpg,40.9703863,29.0663161,123.74,123.74,V4BuBlexi7IJTgCuFJPEcg
0013,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0013_right_40.9703863_29.0663161_213.7.jpg,40.9703863,29.0663161,123.74,213.74,V4BuBlexi7IJTgCuFJPEcg
0013,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0013_backward_40.9703863_29.0663161_303.7.jpg,40.9703863,29.0663161,123.74,303.74,V4BuBlexi7IJTgCuFJPEcg
0013,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0013_left_40.9703863_29.0663161_33.7.jpg,40.9703863,29.0663161,123.74,33.74000000000001,V4BuBlexi7IJTgCuFJPEcg
0014,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0014_forward_40.9702866_29.0665139_123.7.jpg,40.9702866,29.0665139,123.74,123.74,Zv9XHW3F3UEeRUlcb-67iw
0014,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0014_right_40.9702866_29.0665139_213.7.jpg,40.9702866,29.0665139,123.74,213.74,Zv9XHW3F3UEeRUlcb-67iw
0014,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0014_backward_40.9702866_29.0665139_303.7.jpg,40.9702866,29.0665139,123.74,303.74,Zv9XHW3F3UEeRUlcb-67iw
0014,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0014_left_40.9702866_29.0665139_33.7.jpg,40.9702866,29.0665139,123.74,33.74000000000001,Zv9XHW3F3UEeRUlcb-67iw
0015,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0015_forward_40.9701952_29.0666951_123.7.jpg,40.9701952,29.0666951,123.74,123.74,spEGGQ5bWVoG0qkBFNXXpw
0015,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0015_right_40.9701952_29.0666951_213.7.jpg,40.9701952,29.0666951,123.74,213.74,spEGGQ5bWVoG0qkBFNXXpw
0015,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0015_backward_40.9701952_29.0666951_303.7.jpg,40.9701952,29.0666951,123.74,303.74,spEGGQ5bWVoG0qkBFNXXpw
0015,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0015_left_40.9701952_29.0666951_33.7.jpg,40.9701952,29.0666951,123.74,33.74000000000001,spEGGQ5bWVoG0qkBFNXXpw
0016,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0016_forward_40.9724914_29.0645109_126.1.jpg,40.9724914,29.0645109,126.09,126.09,vAneXwv5CS6LlSrptXv5sg
0016,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0016_right_40.9724914_29.0645109_216.1.jpg,40.9724914,29.0645109,126.09,216.09,vAneXwv5CS6LlSrptXv5sg
0016,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0016_backward_40.9724914_29.0645109_306.1.jpg,40.9724914,29.0645109,126.09,306.09000000000003,vAneXwv5CS6LlSrptXv5sg
0016,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0016_left_40.9724914_29.0645109_36.1.jpg,40.9724914,29.0645109,126.09,36.09000000000003,vAneXwv5CS6LlSrptXv5sg
0017,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0017_forward_40.9723856_29.0647032_126.1.jpg,40.9723856,29.0647032,126.09,126.09,F9ub2eHRe2X9I__RQ3utXg
0017,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0017_right_40.9723856_29.0647032_216.1.jpg,40.9723856,29.0647032,126.09,216.09,F9ub2eHRe2X9I__RQ3utXg
0017,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0017_backward_40.9723856_29.0647032_306.1.jpg,40.9723856,29.0647032,126.09,306.09000000000003,F9ub2eHRe2X9I__RQ3utXg
0017,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0017_left_40.9723856_29.0647032_36.1.jpg,40.9723856,29.0647032,126.09,36.09000000000003,F9ub2eHRe2X9I__RQ3utXg
0018,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0018_forward_40.9722797_29.0648954_124.6.jpg,40.9722797,29.0648954,124.58,124.58,JSKhAtQB4-JvY7RHXg0Xew
0018,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0018_right_40.9722797_29.0648954_214.6.jpg,40.9722797,29.0648954,124.58,214.57999999999998,JSKhAtQB4-JvY7RHXg0Xew
