segment_id,point_id,point_type,direction,status,gcs_uri,latitude,longitude,pano_id,pano_lat,pano_lng,street_bearing,heading
1,0014,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0014_forward_40.7478634_-73.9929048_299.3.jpg,40.7478634,-73.9929048,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyNTJIZEE.,40.74788081579625,-73.99294337116656,299.34,299.34
1,0014,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0014_backward_40.7478634_-73.9929048_119.3.jpg,40.7478634,-73.9929048,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyNTJIZEE.,40.74788081579625,-73.99294337116656,299.34,119.33999999999997
2,0015,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/002-0015_forward_40.746038_-73.990518_28.5.jpg,40.746038,-73.990518,3wFNy-7kZVh4oKaggNVFQw,40.74606082214871,-73.99051017353246,28.51,28.51
2,0015,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/002-0015_backward_40.746038_-73.990518_208.5.jpg,40.746038,-73.990518,3wFNy-7kZVh4oKaggNVFQw,40.74606082214871,-73.99051017353246,28.51,208.51
2,0016,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/002-0016_forward_40.7462752_-73.9903479_28.1.jpg,40.7462752,-73.9903479,GTvniMwkibnksvN__X0uyw,40.74626620099918,-73.9903604234899,28.07,28.07
2,0016,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/002-0016_backward_40.7462752_-73.9903479_208.1.jpg,40.7462752,-73.9903479,GTvniMwkibnksvN__X0uyw,40.74626620099918,-73.9903604234899,28.07,208.07
2,0017,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/002-0017_forward_40.7465134_-73.9901802_29.2.jpg,40.7465134,-73.9901802,cu_TQgczE4GGdLO27tc3eA,40.74649917385975,-73.99019049740184,29.25,29.25
2,0017,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/002-0017_backward_40.7465134_-73.9901802_209.2.jpg,40.7465134,-73.9901802,cu_TQgczE4GGdLO27tc3eA,40.74649917385975,-73.99019049740184,29.25,209.25
2,0018,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/002-0018_forward_40.7466658_-73.9900676_29.2.jpg,40.7466658,-73.9900676,VWRSRSUlay7whNqVyvRiVQ,40.74665178161771,-73.99007903656683,29.25,29.25
2,0018,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/002-0018_backward_40.7466658_-73.9900676_209.2.jpg,40.7466658,-73.9900676,VWRSRSUlay7whNqVyvRiVQ,40.74665178161771,-73.99007903656683,29.25,209.25
